职位	薪资	工作经验	学历要求
少儿编程讲师-Java/python	0.8-1.2万/月	在校生/应届生	本科
Python开发工程师	0.8-1.2万/月	1年经验	本科
python开发工程师	1.2-1.6万/月	1年经验	本科
Python教研/教学主任	1-1.5万/月	3-4年经验	本科
德企招Python 全栈工程师	1-1.5万/月	2年经验	本科
Python开发工程师 (MJ003072)	2-4万/月	3-4年经验	本科
Python开发工程师	1.2-1.5万/月	5-7年经验	大专
Python研发工程师	1-1.5万/月	2年经验	本科
资深Python工程师	2.5-4万/月	5-7年经验	本科
Python开发	1-1.5万/月	3-4年经验	本科
python爬虫工程师	1-1.5万/月	2年经验	本科
Python开发工程师	1.2-1.6万/月	3-4年经验	本科
Python开发工程师	1.2-1.8万/月	2年经验	本科
python软件开发岗	1.5-2万/月	1年经验	本科
Python开发工程师-北京-00113	1-1.5万/月	3-4年经验	大专
Python算法开发工程师	1.5-2万/月	3-4年经验	本科
Python工程师	0.6-1.2万/月	无需经验	本科
Python讲师	0.8-1.2万/月	1年经验	本科
Python开发工程师	1-1.5万/月	3-4年经验	本科
Python软件工程师	2-2.5万/月	3-4年经验	本科
Python在线讲师	0.8-1.2万/月	1年经验	本科
Python开发工程师	1.5-2万/月	3-4年经验	本科
Python软件开发工程师	1-1.5万/月	3-4年经验	本科
python工程师	1-1.5万/月	2年经验	大专
Python开发工程师（全职/***）	1.5-2万/月	1年经验	大专
python开发工程师	1.5-3万/月	3-4年经验	本科
Python开发 _4paradigm	1.2-1.8万/月	3-4年经验	大专
运维工程师(python)	1-1.5万/月	3-4年经验	本科
Python开发工程师	1-1.5万/月	3-4年经验	本科
VBA/Python项目开发工程师	0.9-1.2万/月	2年经验	本科
Python高级开发工程师	1.3-1.7万/月	5-7年经验	本科
python开发	2-3万/月	3-4年经验	大专
Python开发工程师	0.7-1万/月	1年经验	本科
Python高级开发工程师	1.5-2万/月	3-4年经验	本科
诚聘Python数据工程师2	1-2万/月	3-4年经验	本科
Python开发工程师	1.3-2.6万/月	3-4年经验	本科
python爬虫高级开发工程师	1-3万/月	3-4年经验	大专
Python工程师	0.6-1万/月	1年经验	本科
Python开发工程师	1-1.5万/月	3-4年经验	本科
Python开发工程师-北京	1-2万/月	1年经验	本科
Python/PHP开发工程师	0.8-1万/月	在校生/应届生	本科
Python开发工程师	0.8-1.5万/月	3-4年经验	本科
P0035-高级PYTHON工程师	1.2-2.4万/月	3-4年经验	本科
Python开发工程师-财务报表平台	2-4万/月	3-4年经验	本科
软件开发工程师（Python/Django）G00116	20-30万/年	3-4年经验	本科
Python研发工程师	2-4万/月	无需经验	大专
Python开发工程师	1.2-1.8万/月	3-4年经验	本科
Python开发工程师	0.8-1.3万/月	1年经验	本科
Python开发工程师	0.8-1万/月	2年经验	本科
Python高级开发工程师	1.5-2万/月	5-7年经验	本科
python开发	2-3万/月	3-4年经验	大专
Python开发工程师	1-1.5万/月	3-4年经验	本科
python开发工程师-北京	1-1.5万/月	2年经验	本科
接口测试（linux/Python/shell,2年及以上）	0.8-1万/月	2年经验	本科
后端开发工程师（Golang/Python）	1.5-2万/月	3-4年经验	本科
后端开发工程师（Python/Go）	1.5-2万/月	3-4年经验	本科
Python开发工程师	1.5-2万/月	3-4年经验	本科
Python开发工程师	1-1.5万/月	2年经验	大专
后端开发工程师（python）	1.5-3万/月	3-4年经验	硕士
Python开发工程师	0.8-1.5万/月	2年经验	大专
急招python开发助理/实习生	6-8千/月	无需经验	大专
python开发工程师	1-1.5万/月	3-4年经验	大专
Python开发工程师	1-2万/月	3-4年经验	本科
python运维开发工程师	0.8-1.5万/月	5-7年经验	本科
高级Python后端开发工程师	1-2万/月	3-4年经验	本科
爬虫开发工程师（Java或Python）	6-9千/月	1年经验	大专
Python工程师	1.5-2.2万/月	3-4年经验	本科
python开发工程师（集成2053）	1-1.5万/月	5-7年经验	大专
Python开发工程师	1.5-2万/月	在校生/应届生	硕士
python开发工程师	1.3-2.5万/月	3-4年经验	本科
运维开发工程师（python /bash）	1-1.5万/月	2年经验	大专
外派证券公司Python开发工程师	1-1.5万/月	3-4年经验	本科
Python开发工程师	1-1.5万/月	3-4年经验	本科
Python高级工程师	1.5-2万/月	5-7年经验	本科
PYTHON后端开发工程师	20-30万/年	3-4年经验	本科
Python Web开发工程师	1-1.5万/月	2年经验	大专
Python高级开发工程师	2-2.5万/月	5-7年经验	本科
2021-Python开发工程师	1-1.5万/月	在校生/应届生	硕士
中高级Python开发工程师（驻场开发）(J10820)	1-1.8万/月	3-4年经验	本科
Python开发工程师	1.5-3万/月	3-4年经验	本科
Python开发工程师	1-1.5万/月	2年经验	本科
python中级开发工程师（天璇）(J11863)	1-2万/月	2年经验	本科
（校招）Python开发工程师 (MJ001994)	1-1.8万/月	在校生/应届生	本科
爬虫工程师（Java或Python）	2.5-3万/月	在校生/应届生	本科
Python开发工程师	1.5-4万/月	3-4年经验	本科
python开发	2-3万/月	3-4年经验	大专
Python开发工程师1	1.6-2万/月	3-4年经验	本科
Python开发工程师	1-2万/月	2年经验	硕士
高级电商运营专员 - SQL/Python	6-9千/月	1年经验	本科
Python开发工程师	0.7-2万/月	2年经验	本科
python爬虫工程师（菱歌数字科技）	1.5-2万/月	2年经验	本科
Python开发工程师	0.8-1万/月	2年经验	本科
Python开发工程师	6-8千/月	1年经验	本科
Python安全研发工程师	1.5-2.5万/月	3-4年经验	本科
软件测试工程师（C++、java、python）	1-2万/月	2年经验	本科
少儿编程讲师-java/web/python	0.8-1万/月	在校生/应届生	本科
计算机视觉算法工程师（python）(002083)	1.5-2万/月	无需经验	本科
